# TANEA CRAWLER REPORT
# Operation:,DISCOVERY
# Generated:,2025-07-07 14:27:27
# Generator:,TaneaCrawler ReportGenerator v1.0

=== OPERATION SUMMARY ===
Metric,Value,Description
Operation Type,DISCOVERY,Type of crawler operation
Execution Time,2025-07-07 14:27:27,When the operation was executed
Sites Processed,1,Number of sites processed
Domains Processed,1,Number of domains involved
Domain List,calcio,List of processed domains
Links Discovered,100,Total links found during discovery
Errors Count,0,Number of errors encountered
Success Rate,100.0%,Percentage of successful operations
Avg Links Per Site,100.0,Average links discovered per site

=== SITES DETAILS ===
Site Key,Site Name,Domain,Links Found,Pages Processed,Status,Pages Detail
calcio_tuttomercatoweb,tuttomercatoweb,calcio,100,2,SUCCESS,[Details in JSON report]

=== REPORT INFO ===
Generated By,Tanea Crawler System
Report Format,CSV (Comma Separated Values)
For detailed data,See accompanying JSON report
Contact,Generated automatically by TaneaCrawler
