# TANEA CRAWLER REPORT
# Operation:,CRAWL
# Generated:,2025-07-07 12:08:18
# Generator:,TaneaCrawler ReportGenerator v1.0

=== OPERATION SUMMARY ===
Metric,Value,Description
Operation Type,CRAWL,Type of crawler operation
Execution Time,2025-07-07 12:08:18,When the operation was executed
Duration,22.7s,Total execution time
Sites Processed,1,Number of sites processed
Domains Processed,,Number of domains involved
Links Discovered,0,Total links found during discovery
Links Crawled,0,Links actually processed
Articles Extracted,0,Successfully extracted articles
Errors Count,0,Number of errors encountered
Success Rate,0.0%,Percentage of successful operations
Extraction Rate,0.0%,Percentage of successful extractions
Avg Links Per Site,,Average links discovered per site
Avg Articles Per Site,0.0,Average articles extracted per site

=== SITES DETAILS ===
Site Key,Links Found,Links Processed,Articles Extracted,Errors,Success Rate,Status
domain_calcio,0,0,0,0,0.0%,FAILED

=== REPORT INFO ===
Generated By,Tanea Crawler System
Report Format,CSV (Comma Separated Values)
For detailed data,See accompanying JSON report
Contact,Generated automatically by TaneaCrawler
